RestaurantID,RestaurantName,CuisineType,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrdersCount,UberEatsOrdersCount,DoorDashOrdersCount,SelfDeliveryOrdersCount,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostOrder
1,Delhi Darbar,North Indian,Casual Dining,Delhi,1.04,350,1200,420,360,280,140,0.36,0.25,0.27,6,55
2,Biryani House,Hyderabadi,QSR,Hyderabad,1.07,280,1500,480,420,380,220,0.38,0.24,0.29,7,50
3,Chai Junction,Cafe,Cafe,Mumbai,1.02,120,900,520,180,120,80,0.32,0.28,0.25,4,35
4,Spice Villa,North Indian,Casual Dining,Jaipur,1.05,300,1100,390,310,250,150,0.37,0.26,0.28,6,48
5,Dosa Corner,South Indian,QSR,Bangalore,1.06,180,1300,500,350,280,170,0.34,0.23,0.26,5,40
6,Tandoori Flames,North Indian,Casual Dining,Delhi,1.03,320,1000,360,300,220,120,0.36,0.25,0.27,6,52
7,Punjabi Dhaba,Punjabi,Casual Dining,Ludhiana,1.05,260,950,410,260,180,100,0.35,0.24,0.26,5,45
8,Bombay Bites,Street Food,Cafe,Mumbai,1.01,150,850,430,200,140,80,0.33,0.27,0.24,4,32
9,Kerala Kitchen,South Indian,Casual Dining,Kochi,1.04,240,900,360,250,180,110,0.34,0.25,0.27,5,42
10,Lucknow Kebabs,Awadhi,Casual Dining,Lucknow,1.06,330,1050,370,320,230,130,0.37,0.26,0.28,6,50
